timestamp,cpu_utilization
2024-01-01 00:00:00,25.3
2024-01-01 00:05:00,24.8
2024-01-01 00:10:00,26.1
2024-01-01 00:15:00,25.6
2024-01-01 00:20:00,24.9
2024-01-01 00:25:00,25.4
2024-01-01 00:30:00,26.0
2024-01-01 00:35:00,25.2
2024-01-01 00:40:00,24.7
2024-01-01 00:45:00,25.8
2024-01-01 00:50:00,26.3
2024-01-01 00:55:00,25.1
2024-01-01 01:00:00,24.9
2024-01-01 01:05:00,25.7
2024-01-01 01:10:00,26.2
2024-01-01 01:15:00,25.4
2024-01-01 01:20:00,24.8
2024-01-01 01:25:00,25.9
2024-01-01 01:30:00,26.1
2024-01-01 01:35:00,25.3
2024-01-01 01:40:00,24.6
2024-01-01 01:45:00,25.5
2024-01-01 01:50:00,26.0
2024-01-01 01:55:00,25.2
2024-01-01 02:00:00,24.9
2024-01-01 02:05:00,25.8
2024-01-01 02:10:00,26.4
2024-01-01 02:15:00,25.1
2024-01-01 02:20:00,24.7
2024-01-01 02:25:00,25.6
2024-01-01 02:30:00,52.4
2024-01-01 02:35:00,51.8
2024-01-01 02:40:00,53.1
2024-01-01 02:45:00,52.6
2024-01-01 02:50:00,51.9
2024-01-01 02:55:00,52.3
2024-01-01 03:00:00,53.0
2024-01-01 03:05:00,52.2
2024-01-01 03:10:00,51.7
2024-01-01 03:15:00,52.8
2024-01-01 03:20:00,53.3
2024-01-01 03:25:00,52.1
2024-01-01 03:30:00,51.9
2024-01-01 03:35:00,52.7
2024-01-01 03:40:00,53.2
2024-01-01 03:45:00,52.4
2024-01-01 03:50:00,51.8
2024-01-01 03:55:00,52.9
2024-01-01 04:00:00,53.1
2024-01-01 04:05:00,52.3
2024-01-01 04:10:00,51.6
2024-01-01 04:15:00,52.5
2024-01-01 04:20:00,53.0
2024-01-01 04:25:00,52.2
2024-01-01 04:30:00,51.9
2024-01-01 04:35:00,52.8
2024-01-01 04:40:00,53.4
2024-01-01 04:45:00,52.1
2024-01-01 04:50:00,51.7
2024-01-01 04:55:00,52.6
2024-01-01 05:00:00,78.2
2024-01-01 05:05:00,77.6
2024-01-01 05:10:00,78.9
2024-01-01 05:15:00,78.4
2024-01-01 05:20:00,77.7
2024-01-01 05:25:00,78.1
2024-01-01 05:30:00,78.8
2024-01-01 05:35:00,78.0
2024-01-01 05:40:00,77.5
2024-01-01 05:45:00,78.6
2024-01-01 05:50:00,79.1
2024-01-01 05:55:00,77.9
2024-01-01 06:00:00,77.7
2024-01-01 06:05:00,78.5
2024-01-01 06:10:00,79.0
2024-01-01 06:15:00,78.2
2024-01-01 06:20:00,77.6
2024-01-01 06:25:00,78.7
2024-01-01 06:30:00,78.9
2024-01-01 06:35:00,78.1
2024-01-01 06:40:00,77.4
2024-01-01 06:45:00,78.3
2024-01-01 06:50:00,78.8
2024-01-01 06:55:00,78.0
2024-01-01 07:00:00,77.7
2024-01-01 07:05:00,78.6
2024-01-01 07:10:00,79.2
2024-01-01 07:15:00,78.1
